title,summary,authors,published,link
Metamorphic Relation Prioritization for Effective Regression Testing,"Metamorphic testing (MT) is widely used for testing programs that face the
oracle problem. It uses a set of metamorphic relations (MRs), which are
relations among multiple inputs and their corresponding outputs to determine
whether the program under test is faulty. Typically, MRs vary in their ability
to detect faults in the program under test, and some MRs tend to detect the
same set of faults. In this paper, we propose approaches to prioritize MRs to
improve the efficiency and effectiveness of MT for regression testing. We
present two MR prioritization approaches: (1) fault-based and (2)
coverage-based. To evaluate these MR prioritization approaches, we conduct
experiments on three complex open-source software systems. Our results show
that the MR prioritization approaches developed by us significantly outperform
the current practice of executing the source and follow-up test cases of the
MRs in an ad-hoc manner in terms of fault detection effectiveness. Further,
fault-based MR prioritization leads to reducing the number of source and
follow-up test cases that needs to be executed as well as reducing the average
time taken to detect a fault, which would result in saving time and cost during
the testing process.","['Madhusudan Srinivasan', 'Upulee Kanewala']",2021-09-20T19:06:17Z,http://arxiv.org/abs/2109.09798v1
"3D cine-magnetic resonance imaging using spatial and temporal implicit
  neural representation learning (STINR-MR)","The reconstruction of 3D cine-MRI is challenged by highly undersampled
k-space data in each cine frame, due to the slow speed of MR signal
acquisition. We proposed a machine learning-based framework, spatial and
temporal implicit neural representation learning (STINR-MR), for accurate 3D
cine-MRI reconstruction from highly undersampled data. STINR-MR used a joint
reconstruction and deformable registration approach to address the ill-posed
spatiotemporal reconstruction problem, by solving a reference-frame 3D MR image
and a corresponding motion model which deforms the reference frame to each cine
frame. The reference-frame image was reconstructed as a spatial implicit neural
representation (INR) network, which learns the mapping from input 3D spatial
coordinates to corresponding MR values. The dynamic motion model was
constructed via a temporal INR, as well as basis deformation vector
fields(DVFs) extracted from prior/onboard 4D-MRIs. The learned INR encodes
input time points and outputs corresponding weighting factors to combine the
basis DVFs into time-resolved motion fields. STINR-MR was evaluated using MR
data simulated from the 4D extended cardiac-torso (XCAT) digital phantom and MR
data acquired clinically from a healthy human subject. Its reconstruction
accuracy was also compared with that of the model-based non-rigid motion
estimation method (MR-MOTUS). STINR-MR can reconstruct 3D cine-MR images with
high temporal (<100 ms) and spatial (3 mm) resolutions to accurately capture
different irregular motion patterns. Compared with MR-MOTUS, STINR-MR
consistently reconstructed images with better quality, fewer artifacts, and
achieved superior tumor localization accuracy. STINR-MR provides a lightweight
and efficient framework for accurate 3D cine-MRI reconstruction, and does not
require external data for pre-training to avoid generalizability issues
encountered in deep learning methods.","['Hua-Chieh Shao', 'Tielige Mengke', 'Jie Deng', 'You Zhang']",2023-08-18T18:48:06Z,http://arxiv.org/abs/2308.09771v1
"Short echo time relaxation-enhanced MR spectroscopy reveals broad
  downfield resonances","Purpose: Most MR spectroscopy (MRS) pulse sequences rely on broadband
excitation with water saturation and typically focus on upfield signals. By
contrast, the downfield spectrum, which contains many potentially useful
resonances, is typically not targeted because conventional water-suppressed
techniques indirectly saturate the labile protons through exchange.
Relaxation-enhanced MRS (RE-MRS) uses frequency-selective excitation while
actively avoiding bulk water perturbation, thereby enabling high-quality
downfield spectroscopy. However, RE-MRS typically requires very long (typically
>40 ms) echo times (TEs) due to its localization module, which inevitably
decreases sensitivity and filters shorter T2 components. Here, we overcome this
limitation by combining RE-MRS and image selected in vivo spectroscopy (ISIS)
localization, abbreviated iRE-MRS, which in turn allows very short TEs (5 ms
using our hardware).
  Methods: Experiments were performed in vitro for validation as well as and in
in vivo rat brains at 9.4T.
  Results: The new iRE-MRS methodology was validated in phantoms where good
performance was noted. When the downfield spectrum was investigated at short
TEs in in vivo rat brains, iRE-MRS provided very high sensitivity; the ensuing
downfield spectra encompassed numerous broad peaks, as well as a broad
baseline. All downfield spectral peaks were highly attenuated by increasing TEs
as well as by applying water saturation, although to different extent. The
signal ratios also varied between TEs, suggesting that exchange rates are
different among the downfield signals.
  Conclusions: Short-TE iRE 1H downfield MRS opens new directions in the
investigation of in vivo downfield metabolites and their role on healthy and
disease processes.","['Sónia I. Gonçalves', 'Clémence Ligneul', 'Noam Shemesh']",2019-05-22T14:15:18Z,http://arxiv.org/abs/1905.09158v1
"Enhanced Magnetic Resonance Image Synthesis with Contrast-Aware
  Generative Adversarial Networks","A Magnetic Resonance Imaging (MRI) exam typically consists of the acquisition
of multiple MR pulse sequences, which are required for a reliable diagnosis.
Each sequence can be parameterized through multiple acquisition parameters
affecting MR image contrast, signal-to-noise ratio, resolution, or scan time.
With the rise of generative deep learning models, approaches for the synthesis
of MR images are developed to either synthesize additional MR contrasts,
generate synthetic data, or augment existing data for AI training. However,
current generative approaches for the synthesis of MR images are only trained
on images with a specific set of acquisition parameter values, limiting the
clinical value of these methods as various sets of acquisition parameter
settings are used in clinical practice. Therefore, we trained a generative
adversarial network (GAN) to generate synthetic MR knee images conditioned on
various acquisition parameters (repetition time, echo time, image orientation).
This approach enables us to synthesize MR images with adjustable image
contrast. In a visual Turing test, two experts mislabeled 40.5% of real and
synthetic MR images, demonstrating that the image quality of the generated
synthetic and real MR images is comparable. This work can support radiologists
and technologists during the parameterization of MR sequences by previewing the
yielded MR contrast, can serve as a valuable tool for radiology training, and
can be used for customized data generation to support AI training.","['Jonas Denck', 'Jens Guehring', 'Andreas Maier', 'Eva Rothgang']",2021-02-17T11:39:36Z,http://arxiv.org/abs/2102.09386v2
"Two Wrongs Can Make a Right: A Transfer Learning Approach for Chemical
  Discovery with Chemical Accuracy","Appropriately identifying and treating molecules and materials with
significant multi-reference (MR) character is crucial for achieving high data
fidelity in virtual high throughput screening (VHTS). Nevertheless, most VHTS
is carried out with approximate density functional theory (DFT) using a single
functional. Despite development of numerous MR diagnostics, the extent to which
a single value of such a diagnostic indicates MR effect on chemical property
prediction is not well established. We evaluate MR diagnostics of over 10,000
transition metal complexes (TMCs) and compare to those in organic molecules. We
reveal that only some MR diagnostics are transferable across these materials
spaces. By studying the influence of MR character on chemical properties (i.e.,
MR effect) that involves multiple potential energy surfaces (i.e., adiabatic
spin splitting, $\Delta E_\mathrm{H-L}$, and ionization potential, IP), we
observe that cancellation in MR effect outweighs accumulation. Differences in
MR character are more important than the total degree of MR character in
predicting MR effect in property prediction. Motivated by this observation, we
build transfer learning models to directly predict CCSD(T)-level adiabatic
$\Delta E_\mathrm{H-L}$ and IP from lower levels of theory. By combining these
models with uncertainty quantification and multi-level modeling, we introduce a
multi-pronged strategy that accelerates data acquisition by at least a factor
of three while achieving chemical accuracy (i.e., 1 kcal/mol) for robust VHTS.","['Chenru Duan', 'Daniel B. K. Chu', 'Aditya Nandy', 'Heather J. Kulik']",2022-01-11T23:45:52Z,http://arxiv.org/abs/2201.04243v1
"Domain Adaptation of Automated Treatment Planning from Computed
  Tomography to Magnetic Resonance","Objective: Machine learning (ML) based radiation treatment (RT) planning
addresses the iterative and time-consuming nature of conventional inverse
planning. Given the rising importance of Magnetic resonance (MR) only treatment
planning workflows, we sought to determine if an ML based treatment planning
model, trained on computed tomography (CT) imaging, could be applied to MR
through domain adaptation. Methods: In this study, MR and CT imaging was
collected from 55 prostate cancer patients treated on an MR linear accelerator.
ML based plans were generated for each patient on both CT and MR imaging using
a commercially available model in RayStation 8B. The dose distributions and
acceptance rates of MR and CT based plans were compared using institutional
dose-volume evaluation criteria. The dosimetric differences between MR and CT
plans were further decomposed into setup, cohort, and imaging domain
components. Results: MR plans were highly acceptable, meeting 93.1% of all
evaluation criteria compared to 96.3% of CT plans, with dose equivalence for
all evaluation criteria except for the bladder wall, penile bulb, small and
large bowel, and one rectum wall criteria (p<0.05). Changing the input imaging
modality (domain component) only accounted for about half of the dosimetric
differences observed between MR and CT plans. Anatomical differences between
the ML training set and the MR linac cohort (cohort component) were also a
significant contributor. Significance: We were able to create highly acceptable
MR based treatment plans using a CT-trained ML model for treatment planning,
although clinically significant dose deviations from the CT based plans were
observed.","['Aly Khalifa', 'Jeff Winter', 'Inmaculada Navarro', 'Chris McIntosh', 'Thomas G. Purdie']",2022-03-07T18:18:00Z,http://arxiv.org/abs/2203.03576v1
"Core-Excited States and X-Ray Absorption Spectra From Multireference
  Algebraic Diagrammatic Construction Theory","We report the development and benchmark of multireference algebraic
diagrammatic construction theory (MR-ADC) for the simulations of core-excited
states and X-ray absorption spectra (XAS). Our work features an implementation
that incorporates core-valence separation into the strict and extended
second-order MR-ADC approximations (MR-ADC(2) and MR-ADC(2)-X), providing an
efficient access to high-energy excited states without including inner-shell
orbitals in the active space. Benchmark results on a set of small molecules
indicate that at equilibrium geometries the accuracy of MR-ADC is similar to
that of single-reference ADC theory when static correlation effects are not
important. In this case, MR-ADC(2)-X performs similarly to single- and
multireference coupled cluster methods in reproducing the experimental XAS peak
spacings. We demonstrate the potential of MR-ADC for chemical systems with
multiconfigurational electronic structure by calculating the K-edge XAS
spectrum of the ozone molecule with a multireference character in its ground
electronic state and the dissociation curve of core-excited molecular nitrogen.
For ozone, the MR-ADC results agree well with the data from experimental and
previous multireference studies of ozone XAS, in contrast to the results of
single-reference methods, which underestimate relative peak energies and
intensities. The MR-ADC methods also predict the correct shape of core-excited
nitrogen potential energy curve, in a good agreement with accurate calculations
using driven similarity renormalization group approaches. These findings
suggest that MR-ADC(2) and MR-ADC(2)-X are promising methods for the XAS
simulations of multireference systems and pave the way for their efficient
computer implementation and applications.","['Ilia M. Mazin', 'Alexander Yu. Sokolov']",2023-05-05T20:31:37Z,http://arxiv.org/abs/2305.03836v2
"Oscillating magnetoresistance due to fragile spin structure in metallic
  GdPd$_3$","Studies on the phenomenon of magnetoresistance (MR) have produced intriguing
and application-oriented outcomes for decades--colossal MR, giant MR and
recently discovered extremely large MR of millions of percents in semimetals
can be taken as examples. We report here the investigation of oscillating MR in
a cubic intermetallic compound GdPd$_3$, which is the only compound that
exhibits MR oscillations between positive and negative values. Our study shows
that a very strong correlation between magnetic, electrical and
magnetotransport properties is present in this compound. The magnetic structure
in GdPd$_3$ is highly fragile since applied magnetic fields of moderate
strength significantly alter the spin arrangement within the system--a behavior
that manifests itself in the oscillating MR. Intriguing magnetotransport
characteristics of GdPd$_3$ are appealing for field-sensitive device
applications, especially if the MR oscillation could materialize at higher
temperature by manipulating the magnetic interaction through perturbations
caused by chemical substitutions.","['Abhishek Pandey', 'Chandan Mazumdar', 'R. Ranganathan', 'D. C. Johnston']",2016-11-05T16:53:07Z,http://arxiv.org/abs/1611.01672v2
"Multi-reference algebraic diagrammatic construction theory for excited
  states: General formulation and first-order implementation","We present a multi-reference generalization of the algebraic diagrammatic
construction theory (ADC) [J. Schirmer, Phys. Rev. A 26, 2395 (1982)] for
excited electronic states. The resulting multi-reference ADC approach (MR-ADC)
can be efficiently and reliably applied to systems, which exhibit strong
electron correlation in the ground or excited electronic states. In contrast to
conventional multi-reference perturbation theories, MR-ADC describes electronic
transitions involving all orbitals (core, active, and external) and enables
efficient computation of spectroscopic properties, such as transition
amplitudes and spectral densities. Our derivation of MR-ADC is based on the
effective Liouvillean formalism of Mukherjee and Kutzelnigg [D. Mukherjee, W.
Kutzelnigg, in Many-Body Methods in Quantum Chemistry (1989), pp. 257--274],
which we generalize to multi-determinant reference states. We discuss a general
formulation of MR-ADC, perform its perturbative analysis, and present an
implementation of the first-order MR-ADC approximation, termed MR-ADC(1), as a
first step in defining the MR-ADC hierarchy of methods. We show results of
MR-ADC(1) for the excitation energies of the Be atom, an avoided crossing in
LiF, doubly excited states in C2, and outline directions for our future
developments.",['Alexander Yu. Sokolov'],2018-09-07T15:58:36Z,http://arxiv.org/abs/1809.02556v2
"N-terminal domain Increases Activation of Elephant Shark Glucocorticoid
  and Mineralocorticoid Receptors","Cortisol, corticosterone and aldosterone activate full-length glucocorticoid
receptor (GR) from elephant shark, a cartilaginous fish belonging to the oldest
group of jawed vertebrates. Activation by aldosterone a mineralocorticoid,
indicates partial divergence of elephant shark GR from the MR. Progesterone
activates elephant shark MR, but not elephant shark GR. Progesterone inhibits
steroid binding to elephant shark GR, but not to human GR. Deletion of the
N-terminal domain (NTD) from elephant shark GR (Truncated GR) reduced the
response to corticosteroids, while truncated and full-length elephant shark MR
had similar responses to corticosteroids. Chimeras of elephant shark GR NTD
fused to MR DBD+LBD had increased activation by corticosteroids and
progesterone compared to full-length elephant shark MR. Elephant shark MR NTD
fused to GR DBD+LBD had similar activation as full-length elephant shark MR,
indicating that activation of human GR by the NTD evolved early in GR
divergence from the MR.","['Yoshinao Katsu', 'Islam MD Shariful', 'Xiaozhi Lin', 'Wataru Takagi', 'Hiroshi Urushitani', 'Satomi Kohno', 'Susumu Hyodo', 'Michael E. Baker']",2019-11-08T19:58:29Z,http://arxiv.org/abs/1911.03517v1
"On the Rates of Steady, Quasi-steady and Impulsive Magnetic Reconnection","Magnetic reconnection (MR) is considered as a major source of particle
energization in astrophysical plasma. In the past, analysis of MR often assumes
the magnetostatic condition, i.e. $\partial_t = 0$. We show that under the
Sweet-Parker-Petschek framework, steady state is an over-constraint and is not
achievable. On the other hand, the quasi-steady state defined as $\partial_t
\mathbf{E} = 0$ but $\partial_t \mathbf{B} \neq 0$ or equivalently
$\partial_t\mathbf{j}\neq 0$ better describes the asymptotic behaviour of MR
without turbulence. The upper limit of MR rate for quasi-steady MR is found to
be $\sim 1/3\sqrt{3} \sim 0.19$. The limit does not apply to impulsive or
turbulent MR of which $\partial_t\mathbf{B} \neq 0$ and $\partial_t\mathbf{E}
\neq 0$. In impulsive MR the rate can be higher or lower than 0.19 depending on
the state of the turbulence. Our results may explain the apparent discrepancy
in observations of solar flare MR rates. The analysis is independent of mass
ratio and thus the results are applicable to pair plasma.",['H. Che'],2018-02-21T19:01:27Z,http://arxiv.org/abs/1802.07748v2
"Longitudinal and transverse magnetoresistance of SrTiO$_3$ with a single
  closed Fermi surface","The magnetoresistance (MR) of SrTiO$_3$ is theoretically investigated based
on the Boltzmann equation by considering its detailed band structure. The
formula for MR proposed by Mackey and Sybert is extended to be applicable to a
system with an arbitrarily shaped Fermi surface. It is shown that the angular
dependence of the diagonal component of the mass tensor causes transverse MR,
whereas that of the off-diagonal component causes longitudinal MR with only a
single closed Fermi surface, which overturns the textbook understanding of MR.
The calculated MR (300% at 10 T) quantitatively agrees with the experimental
results for SrTiO$_3$ including the behavior of the linear MR. The negative
Gaussian curvature of the Fermi surface of SrTiO$_3$ and its resulting negative
longitudinal and transverse MR are also discussed.","['Yudai Awashima', 'Yuki Fuseya']",2019-10-08T05:47:13Z,http://arxiv.org/abs/1910.03223v1
Large longitudinal magnetoresistance of multivalley systems,"The longitudinal magnetoresistance (MR) is assumed to be hardly realized as
the Lorentz force does not work on electrons when the magnetic field is
parallel to the current. However, in some cases, longitudinal MR becomes large,
which exceeds the transverse MR. To solve this problem, we have investigated
the longitudinal MR considering multivalley contributions based on the
classical MR theory. We have showed that the large longitudinal MR is caused by
off-diagonal components of a mobility tensor. Our theoretical results agree
with the experiments of large longitudinal MR in IV-VI semiconductors,
especially in PbTe, for a wide range of temperatures, except for linear MR at
low temperatures.","['Yuki Mitani', 'Yuki Fuseya']",2020-05-31T12:03:10Z,http://arxiv.org/abs/2006.00498v3
"Learning Bloch Simulations for MR Fingerprinting by Invertible Neural
  Networks","Magnetic resonance fingerprinting (MRF) enables fast and multiparametric MR
imaging. Despite fast acquisition, the state-of-the-art reconstruction of MRF
based on dictionary matching is slow and lacks scalability. To overcome these
limitations, neural network (NN) approaches estimating MR parameters from
fingerprints have been proposed recently. Here, we revisit NN-based MRF
reconstruction to jointly learn the forward process from MR parameters to
fingerprints and the backward process from fingerprints to MR parameters by
leveraging invertible neural networks (INNs). As a proof-of-concept, we perform
various experiments showing the benefit of learning the forward process, i.e.,
the Bloch simulations, for improved MR parameter estimation. The benefit
especially accentuates when MR parameter estimation is difficult due to MR
physical restrictions. Therefore, INNs might be a feasible alternative to the
current solely backward-based NNs for MRF reconstruction.","['Fabian Balsiger', 'Alain Jungo', 'Olivier Scheidegger', 'Benjamin Marty', 'Mauricio Reyes']",2020-08-10T14:09:03Z,http://arxiv.org/abs/2008.04139v2
