published,title,category
2015,2 Category of FRBSU Monoidal Categories and Crossed Modules,math.CT
2016,"Nonlinear differential algorithm to compute all the zeros of a generic
  polynomial",math.CA
2016,Retracing Cantor's first steps in Brouwer's company,math.LO
2018,"Magnetically tunable terahertz all-dielectric metamaterial based on
  liquid crystal",physics.optics
2020,Machine $B_4$,math.GR
2016,Some algebraic equivalent forms of $\mathbb{R} \subseteq L$,math.LO
2018,Subgroup growth of all Baumslag-Solitar groups,math.GR
2018,"Nash equilibrium in asymmetric multi-players zero-sum game with two
  strategic variables and only one alien",math.OC
2016,"Scaling Distributed All-Pairs Algorithms: Manage Computation and Limit
  Data Replication with Quorums",cs.DC
2017,The Separable Quotient Problem for Topological Groups,math.GN
2018,"Estimating grouped data models with a binary dependent variable and
  fixed effect via logit vs OLS: the impact of dropped units",stat.AP
2019,On gaps between sums of four fourth powers,math.NT
2020,"Interdependencies of less-equal-relations between partial
  Lovász-vectors of digraphs",math.CO
2020,Complex-valued valuations on Lp spaces,math.MG
2021,On polyhedral graphs and their complements,math.CO
2021,All longest cycles intersect in partial 3-trees,math.CO
2021,Fragility of Confounded Learning,econ.TH
2021,Constructing tree-decompositions that display all topological ends,math.CO
2022,Non-reflective categories of some kinds of weakly sober spaces,math.GM
2022,On norm inequalities related to the geometric mean,math.FA
2022,"OpTree: An Efficient Algorithm for All-gather Operation in Optical
  Interconnect Systems",cs.DC
2023,On the finite axiomatizability of some metabelian profinite groups,math.GR
2023,$\mathrm{TR}$ of quasiregular semiperfect rings is even,math.KT
2024,Some results on the norm of finite groups,math.GR
2024,Construction of all MDS and involutory MDS matrices,cs.CR
2024,"Lancet: Accelerating Mixture-of-Experts Training via Whole Graph
  Computation-Communication Overlapping",cs.DC
1999,"All-dielectric one-dimensional periodic structures for total
  omnidirectional reflection and partial spontaneous emission control",cond-mat.soft
1997,Dualities in all order finite N=1 gauge theories,hep-th
1999,"The Exact Quantum Sine-Gordon Field Equation and Other Non-Perturbative
  Results",hep-th
2005,Embedding finite lattices into finite biatomic lattices,math.GM
2005,"Salem numbers, Pisot numbers, Mahler measure and graphs",math.NT
2007,"Characterizations of finite and infinite episturmian words via
  lexicographic orderings",math.CO
2008,Voronoi cells of discrete point sets,math.CO
2009,Including All the Lines,astro-ph.SR
2010,"On Representations of General Linear Groups over Principal Ideal Local
  Rings of Length Two",math.RT
2010,Simulation vs. Equivalence,cs.FL
2010,MHV Diagrams from an All-Line Recursion Relation,hep-th
2011,Extremum problems for eigenvalues of discrete Laplace operators,math.MG
2011,Clones above the unary clone,math.RA
2012,Pinched Hysteresis Loops is the Fingerprint of Memristive Devices,cond-mat.mes-hall
2013,"On the cyclic subgroup separability of the free product of two groups
  with commuting subgroups",math.GR
2013,Spectral Gaps of Almost Mathieu Operator in Exponential Regime,math.SP
2014,Uniform Artin-Rees Bounds for Syzygies,math.AC
2016,Ordering connected graphs by their Kirchhoff indices,math.CO
2017,A Variation of the Erdős-Sós Conjecture in Bipartite Graphs,math.CO
2015,"Jordan triple product homomorphisms on Hermitian matrices to and from
  dimension one",math.RA
2016,The cotorsion pair generated by the class of flat Mittag-Leffler modules,math.RA
2017,Refining the Two-Dimensional Signed Small Ball Inequality,math.CA
2018,Inner cohomology of $GL_n$,math.NT
2018,"The edge-vertex inequality in a planar graph and a bipartition for the
  class of all planar graphs",math.CO
2009,"On the vanishing and finiteness properties of generalized local
  cohomology modules",math.AC
2012,On the SOA-based MZI all-optical logic gates for all-optical networks,physics.optics
2012,A Note on Efficient Computation of All Abelian Periods in a String,cs.DS
2017,Optimal broadcasting in networks with faulty nodes,cs.DS
2018,Vertex-Facet Assignments For Polytopes,math.CO
2018,2-local isometries on function spaces,math.FA
2020,Finding All Global Minimum Cuts In Practice,cs.DS
2020,"Non-Hyperoctahedral Categories of Two-Colored Partitions, Part II: All
  Possible Parameter Values",math.CO
2020,The complete characterization of tangram pentagons,math.MG
2021,Separability conditions in acts over monoids,math.GR
2022,"Finite unitary rings all of whose groups of units of all their subrings
  except of the ring itself are solvable",math.RA
2022,Evaluating regular path queries under the all-shortest paths semantics,cs.DB
2022,The provability logic of all provability predicates,math.LO
2022,On the diophantaine equations $J_N +J_M =F_A$ & $F_N +F_M =J_A$,math.NT
2022,Upper Bounds on Integer Complexity,math.NT
2022,General Terms of All Almost Balancing Numbers of First and Second Type,math.NT
2022,Disjointness with all minimal systems under group actions,math.DS
2023,Is a Compact Group with All Dense Subgroups Separable Metrizable?,math.GR
2024,Almost All Quantum Channels Are Diagonalizable,quant-ph
2024,Competition for Budget-Constrained Buyers: Exploring All-Pay Auctions,econ.TH
2024,Hyperbolic spaces that detect all strongly-contracting directions,math.GR
2018,"Distinct dynamical behavior in Erdős-Rényi networks, regular
  random networks, ring lattices, and all-to-all neuronal networks",q-bio.NC
2020,The real non-attractive fixed point conjecture and beyond,math.CV
2020,"S-wave kaon-nucleon potentials with all-to-all propagators in the HAL
  QCD method",hep-lat
2007,Strong peak points and denseness of strong peak functions,math.FA
2007,"On the cyclic subgroup separability of free products of two groups with
  amalgamated subgroup",math.GR
2007,An analysis of a random algorithm for estimating all the matchings,cs.CC
2008,An analysis of a random algorithm for estimating all the matchings,cs.GR
2008,Unifying all classical spin models in a Lattice Gauge Theory,hep-lat
2010,List Coloring and $n$-monophilic graphs,math.CO
2011,Quadratic forms representing all odd positive integers,math.NT
2012,All Multiparty Quantum States Can Be Made Monogamous,quant-ph
2012,"Racah coefficients and extended HOMFLY polynomials for all 5-, 6- and
  7-strand braids",hep-th
2015,Quasi-translations and singular Hessians,math.AG
2015,Discrete All-Pay Bidding Games,cs.GT
2015,Pattern avoidance for set partitions à la Klazar,math.CO
2015,"Oscillating Sequences, Minimal Mean Attractability and Minimal
  Mean-Lyapunov-Stability",math.DS
2016,On the lengths of zigzags in thin complexes,math.CO
2016,Eilenberg theorems for many-sorted formations,cs.FL
2019,"Automorphisms of the category of finitely generated free groups of the
  some subvariety of the variety of all groups",math.GR
2020,On some applications of Fitting like subgroups of finite groups,math.GR
2019,Packing without some pieces,math.CO
2019,All-order amplitudes at any multiplicity in the multi-Regge limit,hep-th
2009,On The Optimality Of All To All Broadcast In k ary n dimensional Tori,cs.NI
2017,The Undirected Optical Indices of Complete $m$-ary Trees,math.CO
2018,HoloQuantum HyperNetwork Theory,physics.gen-ph
2018,Subword complexity and power avoidance,cs.FL
2018,Hartshorne's questions and weakly cofiniteness,math.AC
2020,Dominant tournament families,math.CO
2020,Heterogeneous Paxos: Technical Report,cs.DC
2020,AWLCO: All-Window Length Co-Occurrence,cs.DS
2021,All-optical neural network quantum state tomography,quant-ph
2021,Branching geodesics of the Gromov--Hausdorff distance,math.MG
2021,"Topology-optimized ultra-compact all-optical logic devices on silicon
  photonic platforms",physics.optics
2021,"New Binary-Addition Tree Algorithm for the All-Multiterminal
  Binary-State Network Reliability Problem",cs.NI
2022,"Sample Optimality and All-for-all Strategies in Personalized Federated
  and Collaborative Learning",math.OC
2022,"Vertex-critical $(P_3+\ell P_1)$-free and vertex-critical (gem,
  co-gem)-free graphs",math.CO
2022,"Spectral conditions for graphs having all (fractional) $[a,b]$-factors",math.CO
2022,All-to-key Attention for Arbitrary Style Transfer,cs.CV
2023,Predicting IPv4 Services Across All Ports,cs.NI
2023,"Extremal factorization lengths of elements in commutative, cancellative
  semigroups",math.AC
2016,"Finite generating sets for reversible gate sets under general
  conservation laws",cs.DM
2018,"A Monetary Mechanism for Stabilizing Cooperative Data Exchange with
  Selfish Users",cs.IT
2022,"Efficient All-reduce for Distributed DNN Training in Optical
  Interconnect System",cs.DC
2002,Chaotic infaltion with a quadratic potential in all dimensions,astro-ph
2003,End-to-End Distribution Function,cond-mat.soft
1998,A Low-Nussinov Model for Elastic Vector Meson Production at HERA,hep-ph
2000,The Naked Truth about Hadronic Regge Trajectories,hep-ph
1996,All the Exact Solutions of Generalized Calogero-Sutherland Models,hep-th
1997,"Consistent and covariant commutator anomalies in the chiral Schwinger
  model",hep-th
2004,All genus correlation functions for the hermitian 1-matrix model,hep-th
1998,All Fuchsian Schottky groups are classical Schottky groups,math.GT
2000,The automorphisms of affine fusion rings,math.QA
2000,On certain automorphisms of sets of partial isometries,math.FA
2001,"Unitary representations of the quantum ""ax+b"" group",math.QA
2001,"Quantum ""az+b"" group at roots of unity: unitary representations",math.QA
2001,Local automorphisms of some quantum mechanical structures,math.OA
2001,Abelian covers and isotrivial canonical fibrations,math.AG
2002,Avoiding 2-letter signed patterns,math.CO
2002,Sections of Serre fibrations with low-dimensional fibers,math.GT
2002,Isometries of quantum states,math.OA
2002,On the products in the finite groups,math.GR
2003,On varieties of groups in which all periodic groups are abelian,math.GR
2006,Orbit projections as fibrations,math.DG
2007,On the integral systems related to Hardy-Littlewood-Sobolev inequality,math.AP
1995,"Classification of All Poisson-Lie Structures on an Infinite-Dimensional
  Jet Group",q-alg
2003,K-Winners-Take-All Computation with Neural Oscillators,q-bio.NC
1999,Ordering States with Entanglement Measures,quant-ph
2007,"Simultaneous approximation of a real number by all conjugates of an
  algebraic number",math.NT
2007,IIB solutions with N>28 Killing spinors are maximally supersymmetric,hep-th
2007,Superspecies and their representations,math.RA
2007,Rings over which all modules are strongly Gorenstein projective,math.AC
2008,"Mach's Principle: Exact Frame-Dragging by Energy Currents in the
  Universe",astro-ph
2008,Some Stably Tame Polynomial Automorphisms,math.AG
2008,There are k-uniform cubefree binary morphisms for all k >= 0,math.CO
2009,The tripartite Ramsey number for trees,math.CO
2009,Biharmonic maps into compact Lie groups and the integrable systems,math.DG
2009,A note on $k$-cordial $p$-uniform hypertrees,math.CO
2009,Lessons from All Logs Summation in Yukawa Theories,hep-th
2009,Some Gravitational Instantons,gr-qc
2010,The computation of the cohomology rings of all groups of order 128,math.GR
2010,All automorphisms of all Calkin algebras,math.LO
2010,Monoids of injective maps closed under conjugation by permutations,math.GR
2010,An Asymptotic Version of the Multigraph 1-Factorization Conjecture,math.CO
2010,Products of orthogonal projections and polar decompositions,math.FA
2011,Cyclotomic matrices over the Eisenstein and Gaussian integers,math.NT
2011,"On symplectically rigid local systems of rank four and Calabi-Yau
  operators",math.AG
2011,Right tail expansion of Tracy-Widom beta laws,math-ph
2013,Unstable operations in étale and motivic cohomology,math.KT
2013,Restricted Sum Formula of Multiple Zeta Values,math.NT
2014,"Asymptotically polynomial solutions of difference equations of neutral
  type",math.CA
2014,"PAC Learning, VC Dimension, and the Arithmetic Hierarchy",math.LO
2014,On Euler polynomials for projective hypersurfaces,math.AG
2014,Abelian networks II. Halting on all inputs,cs.FL
2014,Short catalog of plane ten-edge trees,math.CO
2014,Reconstruction of Eigenfunctions of q-ary n-dimensional Hypercube,math.CO
2015,On Grosswald's conjecture on primitive roots,math.NT
2015,Towards all-dielectric metamaterials and nanophotonics,physics.optics
2015,Classification of some Global Integrals related to groups of type $A_n$,math.RT
2015,Computing Runs on a General Alphabet,cs.DS
2015,"All couplings localization for quasiperiodic operators with Lipschitz
  monotone potentials",math.SP
2015,"On the Prime Numbers in the Interval [4n,5n]",math.NT
2016,Simple Models for All Topological Phases,cond-mat.mes-hall
2016,A New Family of Nonnegative Sine Polynomials,math.CA
2016,On graphs with three or four distinct normalized Laplacian eigenvalues,math.CO
2017,Bijections for Dyck paths with all peak heights of the same parity,math.CO
2017,"Complete classification of generalized crossing changes between
  GOF-knots",math.GT
2017,Quasifolds,math.DG
2017,ALL-IN-1: Short Text Classification with One Model for All Languages,cs.CL
2018,Refined enumeration of vertices among all rooted ordered $d$-trees,math.CO
2018,"Affine Killing complete and geodesically complete homogeneous affine
  surfaces",math.DG
2019,Probabilistic Arzela-Ascoli theorem,math.FA
2019,"On the vertices belonging to all, some, none minimum dominating set",math.CO
2020,Identifiability of rank-3 tensors,math.AG
2020,"Measurement and entanglement phase transitions in all-to-all quantum
  circuits, on quantum trees, and in Landau-Ginsburg theory",cond-mat.stat-mech
2020,Two weaker variants of congruence permutability for monoid varieties,math.GR
2016,Deeply x-raying the high-energy sky,astro-ph.HE
2017,The pseudovariety of all nilpotent groups is tame,math.GR
2018,On enumerating extensions of p-adic fields with given invariants,math.NT
2018,The special linear group for nonassociative rings,math.RA
2019,Ranks for families of all theories of given languages,math.LO
2019,Connected quandles of size $pq$ and $4p$,math.GR
2019,Limit varieties of aperiodic monoids with commuting idempotents,math.GR
2019,Linear mappings preserving the copositive cone,math.CO
2019,"A new algorithm to classify chiral polytopes with a given automorphism
  group",math.GR
2019,Turing Invariant Sets and the Perfect Set Property,math.LO
2009,A Note on Values of Noncommutative Polynomials,math.OA
2014,On the structure and arithmeticity of lattice envelopes,math.GR
2016,All uncountable regular cardinals can be inaccessible in HOD,math.LO
2019,Subsets of colossally abundant numbers,math.NT
2020,An interpolation of metrics and spaces of metrics,math.MG
2020,"The construction and weight distributions of all projective binary
  linear codes",cs.IT
2020,Highly Sorted Permutations and Bell Numbers,math.CO
2021,A Rauzy fractal unbounded in all directions of the plane,math.DS
2021,"$AD_{\mathbb{R}}$ implies that all sets of reals are $Θ$
  universally Baire",math.LO
2021,Path Connectivity of Spheres in the Gromov-Hausdorff Class,math.MG
2021,Matrix Waring Problem,math.CO
2021,Permutation groups on countable vector spaces over prime fields,math.LO
2021,TCoMX: Tomotherapy Complexity Metrics EXtractor,physics.med-ph
2022,Localization for magnetic quantum walks,math.SP
2022,"Quivers for coloured planar $φ^n$ theories at all loop orders for
  scattering processes from Feynman diagrams",hep-th
2022,A Divisor problem for polynomials,math.NT
2022,Endomorphisms of semigroups of monotone transformations,math.RA
2022,Multiplicities for Strongly Tempered Spherical Varieties,math.RT
2022,Matrix Waring Problem -- II,math.GR
2022,Monomial reduction of knot polynomials,math.GT
2022,Admissible modules and normality of classical nilpotent orbits II,math.RT
2022,Conflict graphs of maximally planar subgraphs of Petersen family graphs,math.CO
2022,Sparse Probability of Agreement,cs.CL
2022,Convex bodies with all characteristics planar,math.SG
2022,All-set-homogeneous spaces,math.MG
2022,Equating Schur Functions,hep-th
2022,On pseudo-codecomposition of a transformation group,math.GT
2022,On a categorical structure of the set of all CFTs,hep-th
2023,"Every complex H{é}non map is exponentially mixing of all orders and
  satisfies the CLT",math.CV
2023,Generalized Sierpiński Numbers,math.NT
2023,"Profinite rigidity and the Congruence Subgroup Problem for Mapping Class
  Groups",math.GT
2023,"Physical measures for partially hyperbolic diffeomorphisms with mixed
  hyperbolicity",math.DS
2023,Conversions explicites des nombres premiers vers la fonction de Möbius,math.NT
2023,MFO Report: The dry ten Martini problem for Sturmian dynamical systems,math-ph
2023,Lexicographical ordering of hypergraphs via spectral moment,math.CO
2023,The Beauty of Roots,math.HO
2023,On units with Galois complex conjugates of equal absolute value,math.NT
2023,"A Note on the Completeness of All Translates of a Function in the Orlicz
  Spaces",math.FA
2024,"A protocol of measurements providing direct, complete and single-valued
  recover of all a-priori unknown parameters of biphoton polarization qutrits",quant-ph
2024,"Bi-monotone maps on the set of all variance-covariance matrices with
  respect to minus partial order",math.FA
2024,"An ergodic and isotropic zero-conductance model with arbitrarily strong
  local connectivity",math.PR
2024,Anisotropic Gauss curvature flow of complete non-compact graphs,math.DG
2024,All cycle-chords are $e$-positive,math.CO
1997,"All Abelian Quotient C.I.-Singularities Admit Projective Crepant
  Resolutions in All Dimensions",alg-geom
1998,Soft X-ray emission of VY Scl stars during optical high state,astro-ph
2004,"Infrared Properties of Cataclysmic Variables in the 2MASS All Sky Data
  Release",astro-ph
2003,"End-To-End Distribution Function Function of Stiff Polymers for all
  Persistence Lengths",cond-mat
2004,Broken Ergodicity in classically chaotic spin systems,cond-mat.stat-mech
1997,Exotic hadronic states and all-to-all quark propagators,hep-lat
2004,"Improving Algorithms to Compute All Elements of the Lattice Quark
  Propagator",hep-lat
2005,Density-density correlators using all-to-all propagators,hep-lat
2006,Precision study of B^* Bπcoupling for the static heavy-light meson,hep-lat
1993,"Neutrino Energy Loss from the Plasma Process at all Temperatures and
  Densities",hep-ph
1996,All-order Finiteness in N=1 SYM Theories: Criteria and Applications,hep-ph
2005,A Unified Model for inelastic e-N and nu-N cross sections at all Q2,hep-ph
2006,"A solution of a hoary conundrum: the origin and properties of cosmic
  rays",hep-ph
1994,On the Classification of Diagonal Coset Modular Invariants,hep-th
2000,A note on a question of R. Pol concerning light maps,math.GN
2001,Multilinear quantum Lie operations,math.QA
2002,"Linearly Independent Products of Rectangularly Complementary Schur
  Functions",math.CO
2004,Clones containing all almost unary functions,math.RA
2006,On a special class of simplicial toric varieties,math.AG
2006,"Isomorphism-free lexicographic enumeration of triangulated surfaces and
  3-manifolds",math.CO
2006,"Monomial ideals arising from flag complexes whose generic initial ideals
  do not depend on term orders",math.AC
2007,"A Generating Function for all Semi-Magic Squares and the Volume of the
  Birkhoff Polytope",math.CO
1998,"General Properties of Optical Harmonic Generation from a simple
  Oscillator Model",physics.optics
2001,Universal quantum gates,quant-ph
2002,All Entanglements in a Multipartite System,quant-ph
2007,"Characterization of all the supersymmetric solutions of gauged N=1,d=5
  supergravity",hep-th
2007,Unit distances and diameters in Euclidean spaces,math.MG
2007,Some Generalizations of Fedorchuk Duality Theorem -- I,math.GN
2007,Pion form factor from all-to-all propagators of overlap quarks,hep-lat
2007,Ricci Yang-Mills flow on surfaces,math.DG
2007,Even perfect polynomials over $F_2$ with four prime factors,math.NT
2008,"MAXI, LOFAR and Microquasars - All-sky monitoring of X-ray binaries in
  X-rays and radio",astro-ph
2008,On the existence of k-homogeneous Latin bitrades,math.CO
2009,The gap between unbounded regular operators,math.OA
2009,Exceptional Lie groups,math.DG
2009,"Quantum state transfer through a qubit network with energy shifts and
  fluctuations",quant-ph
2009,"Integer symmetric matrices of small spectral radius and small Mahler
  measure",math.NT
2009,Protein simulations combining an all-atom force field with a Go term,q-bio.BM
2009,On noncontractible compacta with trivial homology and homotopy groups,math.AT
2010,"Multiloop algebras, iterated loop algebras and extended affine Lie
  algebras of nullity 2",math.RA
2010,Properties of palindromes in finite words,cs.DM
2010,"Investigation of all Ricci semi-symmetric and all conformally
  semi-symmetric spacetimes",math.DG
2010,Fusion systems on small p-groups,math.GR
2010,On All-loop Integrands of Scattering Amplitudes in Planar N=4 SYM,hep-th
2010,The Hamiltonian Syllogistic,cs.LO
2010,Phase Transitions of Plan Modification in Conformant Planning,cs.AI
2011,Evolving spheres of shear-free anisotropic fluid,gr-qc
2011,Cliques in Odd-Minor-Free Graphs,math.CO
2011,Losing money with a high Sharpe ratio,q-fin.RM
2011,"Vertex-transitive maps with Schläfli type {3, 7}",math.CO
2012,"Modules Whose Classical Prime Submodules Are Intersections of Maximal
  Submodules",math.AC
2012,Jordan and Jordan Higher All-derivable Points of Some Algebras,math.OA
2012,Topological and ditopological unosemigroups,math.GN
2012,All Spin Nano-magnetic State Elements,cond-mat.mes-hall
2012,Multiplicative Congruences with Variables from Short Intervals,math.NT
2012,Approximations and locally free modules,math.RT
2012,"On signless Laplacian coefficients of unicyclic graphs with given
  matching number",math.CO
2012,"Self-embeddings of Hamming Steiner triple systems of small order and APN
  permutations",cs.IT
2013,The Ricci flow on generalized Wallach spaces,math.DG
2013,Global communication algorithms for Cayley graphs,math.CO
2013,"Linear Network Coding on Multi-Mesh of Trees (MMT) using All to All
  Broadcast (AAB)",cs.DC
2013,Separability from Spectrum for Qubit-Qudit States,quant-ph
2014,"Group With Maximum Undirected Edges in Directed Power Graph Among All
  Finite Non-Cyclic Nilpotent Groups",math.CO
2014,Pentapods with Mobility 2,cs.RO
2014,Computing The Extension Complexities of All 4-Dimensional 0/1-Polytopes,math.CO
2015,"On irregular threefolds and fourfolds with numerically trivial canonical
  bundle",math.AG
2015,Nice reflection arrangements,math.GR
2015,Identities of the left-symmetric Witt algebras,math.RA
2015,Set of all densities of exponentially S-numbers,math.NT
2015,"On the section conjecture over function fields and finitely generated
  fields",math.NT
2015,Pisot unit generators in number fields,math.NT
2016,Some Results on Superpatterns for Preferential Arrangements,math.CO
2017,"Characterizations of Eulerian and even-face partial duals of ribbon
  graphs",math.CO
2017,Possible heights of graph transformation groups,math.GT
2017,"Partitioning $2$-coloured complete $k$-uniform hypergraphs into
  monochromatic $\ell$-cycles",math.CO
2017,Convex Set of Doubly Substochastic Matrices,math.CO
2018,Commutative rings with every non-maximal ideal finitely generated,math.AC
2020,The star avoidance game,math.CO
2004,"On the Electromagnetism of Gravitational System and the Four Dimensional
  Constants (c, h, k, G)",gr-qc
2010,On the growth of restricted integer partition functions,math.CO
2011,Conformal invariance of curvature perturbation,gr-qc
2013,Diagonal changes for surfaces in hyperelliptic components,math.DS
2015,"On generalizations of Baer's theorems about the hypercenter of a finite
  group",math.GR
2016,"Finite groups with non-trivial intersections of kernels of all but one
  irreducible characters",math.GR
2016,"Frequency-time coherence for all-optical sampling without optical pulse
  source",physics.optics
2016,A Note on the Existence of the Multivariate Gamma Distribution,math.PR
2016,"On a generalization of the concept of S-permutable subgroup of a finite
  group",math.GR
2017,"On the maximal ideal space of even quasicontinuous functions on the unit
  circle",math.FA
2018,All principal congruence link groups,math.GT
2018,On Strong NP-Completeness of Rational Problems,cs.DM
2018,Transformation representations of sandwich semigroups,math.GR
2018,Homogeneous Subspaces of Products of Extremally Disconnected Spaces,math.GN
2018,Almost all circle polyhedra are rigid,math.MG
2018,Classical structures of CP maps are all canonical,quant-ph
2018,"Outer billiards outside regular dodecagon: computer proof of periodicity
  of almost all orbits and existence of an aperiodic point",math.DS
2018,A sharp inequality involving hyperbolic and inverse hyperbolic functions,math.CA
2019,"Eliminating all bad Local Minima from Loss Landscapes without even
  adding an Extra Unit",stat.ML
2019,"Preservers of partial orders on the set of all variance-covariance
  matrices",math.FA
2019,Which quartic polynomials have a hyperbolic antiderivative?,math.CA
2019,Spectral order isomorphisms and AW*-factors,math.OA
2009,A Multi-Set Identity for Partitions,math.CO
2012,"On digit patterns in expansions of rational numbers with prime
  denominator",math.NT
2012,On Nilpotency and Asymptotic Nilpotency of Cellular Automata,math.DS
2014,Jordan weak amenability and orthogonal forms on JB*-algebras,math.OA
2017,A Tale of Two Loops: Simplifying All-Plus Yang-Mills Amplitudes,hep-th
