title,summary,authors,published,link
Evaluation of Social Biases in Recent Large Pre-Trained Models,"Large pre-trained language models are widely used in the community. These
models are usually trained on unmoderated and unfiltered data from open sources
like the Internet. Due to this, biases that we see in platforms online which
are a reflection of those in society are in turn captured and learned by these
models. These models are deployed in applications that affect millions of
people and their inherent biases are harmful to the targeted social groups. In
this work, we study the general trend in bias reduction as newer pre-trained
models are released. Three recent models ( ELECTRA, DeBERTa, and DistilBERT)
are chosen and evaluated against two bias benchmarks, StereoSet and
CrowS-Pairs. They are compared to the baseline of BERT using the associated
metrics. We explore whether as advancements are made and newer, faster, lighter
models are released: are they being developed responsibly such that their
inherent social biases have been reduced compared to their older counterparts?
The results are compiled and we find that all the models under study do exhibit
biases but have generally improved as compared to BERT.","['Swapnil Sharma', 'Nikita Anand', 'Kranthi Kiran G. V.', 'Alind Jain']",2023-04-13T23:29:58Z,http://arxiv.org/abs/2304.06861v1
"Statistical Study of Coronal Mass Ejection Source Locations: II. Role of
  Active Regions in CME Production","This is the second paper of the statistical study of coronal mass ejection
(CME) source locations, in which the relationship between CMEs and active
regions (ARs) is statistically studied on the basis of the information of CME
source locations and the ARs automatically extracted from magnetic synoptic
charts of Michelson Doppler Imager (MDI) during 1997 -- 1998. It is found that
about 63% of the CMEs are related with ARs, at least about 53% of the ARs
produced one or more CMEs, and particularly about 14% of ARs are CME-rich (3 or
more CMEs were generated) during one transit across the visible disk. Several
issues are then tried to clarify: whether or not the CMEs originating from ARs
are distinct from others, whether or not the CME kinematics depend on AR
properties, and whether or not the CME productivity depends on AR properties.
The statistical results suggest that (1) there is no evident difference between
AR-related and non-AR-related CMEs in terms of CME speed, acceleration and
width, (2) the size, strength and complexity of ARs do little with the
kinematic properties of CMEs, but have significant effects on the CME
productivity, and (3) the sunspots in all the most productive ARs at least
belong to $\beta\gamma$ type, whereas 90% of those in CME-less ARs are $\alpha$
or $\beta$ type only. A detailed analysis on CME-rich ARs further reveals that
(1) the distribution of the waiting time of same-AR CMEs, consists of two parts
with a separation at about 15 hours, which implies that the CMEs with a waiting
time shorter than 15 hours are probably truly physical related, and (2) an AR
tends to produce such related same-AR CMEs at a pace of 8 hours, but cannot
produce two or more fast CMEs (>800 km/s) within a time interval of 15 hours.
This interesting phenomenon is particularly discussed.","['Caixia Chen', 'Yuming Wang', 'Chenglong Shen', 'Pinzhong Ye', 'Jie Zhang', 'S. Wang']",2011-10-09T03:30:29Z,http://arxiv.org/abs/1110.1787v1
"Temporal and Periodic Variations of Sunspot Counts in Flaring and
  Non-flaring Active Regions","We analyzed temporal and periodic behavior of sunspot counts (SSCs) in
flaring (C, M, or X class flares), and non-flaring active regions (ARs) for the
almost two solar cycles (1996 through 2016). Our main findings are as follows:
i) The temporal variation of monthly means of daily total SSCs in flaring and
non-flaring ARs are different and these differences are also varying from cycle
to cycle; temporal profile of non-flaring ARs are wider than the flaring ones
during the solar cycle 23, while they are almost the same during the current
cycle 24. The second peak (second maximum) of flaring ARs are strongly dominate
during current cycle 24, while this difference is not such a remarkable during
cycle 23. The amplitude of SSCs in the non-flaring ARs are comparable during
the first and second peaks (maxima) of the current solar cycle, while the first
peak is almost not existent in case of the flaring ARs. ii) Periodic variations
observed in SSCs of flaring and non-flaring ARs are quite different in both MTM
spectrum and wavelet scalograms and these variations are also different from
one cycle to another; the largest detected period in the flaring ARs is 113
days, while there are much higher periodicities (327, 312, and 256 days) in
non-flaring ARs. There are no meaningful periodicities in MTM spectrum of
flaring ARs exceeding 45 days during solar cycle 24, while a 113 days
periodicity detected from flaring ARs of solar cycle 23. For the non-flaring
ARs the largest period is 72 days during solar cycle 24, while the largest
period is 327 days during current cycle.","['A. Kilcik', 'V. Yurchyshyn', 'B. Donmez', 'V. N. Obridko', 'A. Ozguc', 'J. P. Rozelot']",2017-05-25T06:51:51Z,http://arxiv.org/abs/1705.09065v1
Limits to consistent on-line forecasting for ergodic time series,"This study concerns problems of time-series forecasting under the weakest of
assumptions. Related results are surveyed and are points of departure for the
developments here, some of which are new and others are new derivations of
previous findings. The contributions in this study are all negative, showing
that various plausible prediction problems are unsolvable, or in other cases,
are not solvable by predictors which are known to be consistent when mixing
conditions hold.","['L. Gyorfi', 'G. Morvai', 'S. Yakowitz']",2007-12-14T19:08:07Z,http://arxiv.org/abs/0712.2430v1
"General Exact Solution of Einstein Field Equations for Diagonal, Vacuum,
  Separable Metrics","In this article we find the general, exact solution for the gravitational
field equations for diagonal, vacuum, separable metrics. These are metrics each
of whose terms can be separated into functions of each space-time variable
separately. Other than this, the functions are completely arbitrary; no
symmetries are assumed; no limitations are placed on the coordinates. There are
16 functions, which with specific selection of coordinates reduce to 12. Since
there are 10 field equations, two functions in the solution are completely
arbitrary. The field equations are solved exactly. The solution for each
function is presented analytically, with a total of three parameters and ten
constants in addition to the two arbitrary functions.",['Ron Lenk'],2010-09-30T16:11:54Z,http://arxiv.org/abs/1010.0576v1
"Modules Whose Classical Prime Submodules Are Intersections of Maximal
  Submodules","Commutative rings in which every prime ideal is the intersection of maximal
ideals are called Hilbert (or Jacobson) rings. We propose to define classical
Hilbert modules by the property that {\it classical prime} submodules are the
intersection of maximal submodules. It is shown that all co-semisimple modules
as well as all Artinian modules are classical Hilbert modules. Also, every
module over a zero-dimensional ring is classical Hilbert. Results illustrating
connections amongst the notions of classical Hilbert module and Hilbert ring
are also provided. Rings $R$ over which all $R$-modules are classical Hilbert
are characterized. Furthermore, we determine the Noetherian rings $R$ for which
all finitely generated $R$-modules are classical Hilbert.","['Marzieh Arabi-Kakavand', 'Mahmood Behboodi']",2012-02-02T08:38:35Z,http://arxiv.org/abs/1202.0385v1
Encoding and Decoding Algorithms for Arbitrary Dimensional Hilbert Order,"Hilbert order is widely applied in many areas. However, most of the
algorithms are confined to low dimensional cases. In this paper, algorithms for
encoding and decoding arbitrary dimensional Hilbert order are presented. Eight
algorithms are proposed. Four algorithms are based on arithmetic operations and
the other four algorithms are based on bit operations. For the algorithms
complexities, four of them are linear and the other four are constant for given
inputs. In the end of the paper, algorithms for two dimensional Hilbert order
are presented to demonstrate the usage of the algorithms introduced.","['Hui Liu', 'Tao Cui', 'Wei Leng', 'Linbo Zhang']",2016-01-06T18:53:04Z,http://arxiv.org/abs/1601.01274v1
Comparison of Advance Tree Data Structures,"Btree and Rtree are two basic index structures; many different variants of
them are proposed after them. Different variants are used in specific
application for the performance optimization. In this paper different variants
of Btree and Rtree are discussed and compared. Index structures are different
in terms of structure, query support, data type support and application. Index
structures are discussed first. Btree and its variants are discussed and them
Rtree and its variants are discussed. Some structures example is also shown for
the more clear idea. Then comparison is made between all structure with respect
to complexity, query type support, data type support and application.","['Parth Patel', 'Deepak Garg']",2012-09-28T11:54:01Z,http://arxiv.org/abs/1209.6495v1
Nearly associative and nearly Hom-associative algebras and bialgebras,"Basic definitions and properties of nearly associative algebras are
described. Nearly associative algebras are proved to be Lie-admissible
algebras. Two-dimensional nearly associative algebras are classified, and its
main classes are derived. The bimodules, matched pairs and Manin triple of a
nearly associative algebras are derived and their equivalence with nearly
associative bialgebras is proved. Basic definitions and properties of nearly
Hom-associative algebras are described. Related bimodules and matched pairs are
given, and associated identities are established.","['Mafoya Landry Dassoundo', 'Sergei Silvestrov']",2021-01-29T03:22:38Z,http://arxiv.org/abs/2101.12377v1
On Perfect Hypercomplex Algebra,"The set of associative and commutative hypercomplex numbers, called the
perfect hypercomplex algebra (PHA) is investigated. Necessary and sufficient
conditions for an algebra to be a PHA via semi-tensor product(STP) of matrices
are reviewed. The zero set is defined for non-invertible hypercomplex numbers
in a given PHA, and a characteristic function is proposed for calculating zero
set. Then PHA of different dimensions are considered. First, $2$-dimensional
PHAs are considered as examples to calculate their zero sets etc. Second, all
the $3$-dimensional PHAs are obtained and the corresponding zero sets are
investigated. Third, $4$-dimensional or even higher dimensional PHAs are also
considered. Finally, matrices over pre-assigned PHA, called perfect
hypercomplex matrices (PHMs) are considered. Their properties are also
investigated.","['Daizhan Cheng', 'Zhengping Ji']",2021-05-07T12:25:24Z,http://arxiv.org/abs/2105.03205v1
"On the hypersufaces of the Euclidean space which are simultaneously
  minimal and maximal","It is well known that the only surfaces that are simultaneously minimal in
$\mathbb{R}^3$ and maximal in $\mathbb{L}^3$ are open pieces of helicoids (in
the region in which they are spacelike) and of spacelike planes (O. Kobayashi
1983). The proof of this result consists in showing that the level curves of
those surfaces are lines, and so the surfaces are ruled. And it finishes
comparing the classification of minimal ruled surfaces to that of maximal ruled
surfaces.
  In this manuscript we consider the general case of spacelike hypersurfaces in
the $(n+1)$-dimensional Euclidean space which are simultaneously maximal and
minimal. We show that its level curves are minimal hypersurfaces in the
$n$-dimensional Euclidean space.",['Magdalena Caballero'],2021-09-08T14:40:41Z,http://arxiv.org/abs/2109.03686v1
QFS-space and its properties,"In this paper, the concept of quasi-finitely separating map and
quasiapproximate identity are introduced. Based on these concepts, QFS-spaces
and quasicontinuous maps are defined. Properties and characterizations of
QFS-spaces are explored. Main results are: (1) Each QFS-space is
quasicontinuous space; (2) Closed subspaces, quasicontinuous projection spaces
of QFS-spaces are QFS-spaces; (3) Continuous retracts of QFS-spaces are
QFS-spaces and a kind of retracts of QFS-spaces are constructed; (4) Upper
powerspaces of continuous QFS-spaces are FS-spaces.",['Wu Wang'],2022-11-19T12:01:48Z,http://arxiv.org/abs/2211.10677v1
Rings Whose Non-Invertible Elements Are Uniquely Strongly Clean,"We define and explore in details the class of GUSC rings, that are those
rings whose non-invertible elements are uniquely strongly clean. These rings
are a common generalization of the so-called USC rings, introduced by
Chen-Wang-Zhou in J. Pure & Appl. Algebra (2009), which are rings whose
elements are uniquely strongly clean. These rings also generalize the so-called
GUC rings, defined by Guo-Jiang in Bull. Transilvania Univ. Bra\c{s}ov (2023),
which are rings whose non-invertible elements are uniquely clean.","['Peter Danchev', 'Omid Hasanzadeh', 'Ahmad Moussavi']",2024-01-06T22:46:10Z,http://arxiv.org/abs/2401.03320v1
Discussion on the nucleon decay experiments,"The results of KGF experiments are compared with the results of Soudan 2 and
Frejus experiments and reasonable agreements are obtained. Nevertheless, the
results of Super-Kamiokande (SK) are somewhat different from the other
experiments and some points in SK are discussed.",['S. Miyake'],2001-05-26T06:41:12Z,http://arxiv.org/abs/hep-ex/0105081v1
Areal Theory,"New features are described for models with multi-particle area-dependent
potentials, in any number of dimensions. The corresponding many-body field
theories are investigated for classical configurations. Some explicit solutions
are given, and some conjectures are made about chaos in such field theories.",['Thomas Curtright'],2002-07-07T17:48:02Z,http://arxiv.org/abs/hep-th/0207058v1
On zonoids whose polars are zonoids,"Zonoids whose polars are zonoids cannot have proper faces of dimension other
than $n-1$ or zero ($n\geq 3$). However, there exist non smooth zonoids whose
polars are zonoids. Examples in $R^3$ and $R^4$ are given.",['Yossi Lonke'],1997-07-28T00:00:00Z,http://arxiv.org/abs/math/9707210v1
Isoscattering on surfaces,"We give a number of examples of pairs of non-compact surfaces which are
isoscattering, and which are exceptionally simple in one or more senses. We
give examples which are of small genus with a small number of ends, and also
examles which are congruence surfaces.","['Robert Brooks', 'Orit Davidovich']",2002-05-21T07:34:10Z,http://arxiv.org/abs/math/0205219v1
Functions of several quaternion variables and quaternion manifolds,"Functions of several quaternion variables are investigated and integral
representation theorems for them are proved. With the help of them solutions of
the $\tilde \partial $-equations are studied. Moreover, quaternion Stein
manifolds are defined and investigated.",['S. V. Ludkovsky'],2003-02-02T00:24:52Z,http://arxiv.org/abs/math/0302011v1
Alternative Orthogonal Polynomials,"The double-direction orthogonalization algorithm is applied to construct
sequences of polynomials, which are orthogonal over the interval [0,1]with the
weighting function 1. Functional and recurrent relations are derived for the
sequences that are the result of the inverse orthogonalization procedure.
Quadratures, generated by the sequences are described.",['Vladimir Chelyshkov'],2004-05-17T00:13:55Z,http://arxiv.org/abs/math/0405316v1
Cardinal invariants for C-cross topologies,"C-cross topologies are introduced. Modifcations of the Kuratowski-Ulam
Theorem are considered. Cardinal invariants add, cof, cov and non with respect
to meager or nowhere dense subsets are compared. Remarks on invariants
cof(nwdY) are mentioned for dense subspaces Y of X.","['Andrzej Kucharski', 'Szymon Plewik']",2006-09-13T11:57:28Z,http://arxiv.org/abs/math/0609351v1
"Velocity addition in Special Relativity and in Newtonian Mechanics are
  isomorphic","In the one dimensional case, velocity addition in Special Relativity and in
Newtonian Mechanics, respectively, are each a commutative group operation, and
the two groups are isomorphic. There are infinitely many such isomorphisms,
each indexed by one positive real parameter.",['ELemer E Rosinger'],2005-04-14T07:55:29Z,http://arxiv.org/abs/math-ph/0504043v1
Differing Interactions Require Baryon and Lepton Conservation,"Baryon and lepton numbers are conserved. Why? Baryon number must be because
baryons are subject to strong interactions, leptons are not. Conservation of
baryons leads to that of leptons. This raises further questions which are
noted.",['R. Mirman'],1998-02-26T03:53:04Z,http://arxiv.org/abs/physics/9802048v1
"Notes on dispersionful and dispersionless vortex filament equations in
  1+1 and 2+1 dimensions","The vortex filament equations (VFE) in 1+1 and 2+1 dimensions are considered.
Some of these equations are integrable. Also the VFE with potentials and with
self-consistent potentials are presented. Finally several examples of
integrable dispersionless VFE (dVFE) are considered.",['R. Myrzakulov'],2004-12-23T11:15:00Z,http://arxiv.org/abs/physics/0412153v1
Reynolds' Dream?,"Equations for correlation functions, here referred to as Reynolds-
Kraichnan-Lewis equations (RKLE), are considered and their wide application is
indicated. Perturbation and non-perturbation solutions are given. To elucidate
a closure problem - various forms of equations are presented. Exact, closed
equations for the projected correlation functions are derived.",['Jerzy Hanckowiak'],2005-11-27T18:07:09Z,http://arxiv.org/abs/physics/0511225v1
Some integer sequences based on derangements,"Sequences whose terms are equal to the number of functions with specified
properties are considered. Properties are based on the notion of derangements
in a more general sense. Several sequences which generalize the standard notion
of derangements are thus obtained. These sequences generate a number of integer
sequences from the well-known Sloane's encyclopedia.",['Milan Janjić'],2007-04-23T19:58:43Z,http://arxiv.org/abs/0704.3058v1
Riemannian products which are conformally equivalent to Einstein metrics,"Necessary and sufficient conditions for a Riemannian product to be
conformally equivalent to an Einstein manifold are given. Such spaces which are
complete are characterized.",['Richard Cleyton'],2008-05-23T12:53:42Z,http://arxiv.org/abs/0805.3630v2
Fibonacci Modules and Multiple Fibonacci Sequences,"Double Fibonacci sequences are introduced and they are related to operations
with Fibonacci modules. Generalizations and examples are also discussed.",['Abdul Rauf Nizami'],2008-10-22T10:13:49Z,http://arxiv.org/abs/0810.4028v1
Cayley automatic groups are not Cayley biautomatic,"We show that there are Cayley automatic groups that are not Cayley
biautomatic. In addition, we show that there are Cayley automatic groups with
undecidable Conjugacy Problem and that the Isomorphism Problem is undecidable
in the clas of Cayley automatic groups.","['Alexei Miasnikov', 'Zoran Sunic']",2011-08-13T05:21:05Z,http://arxiv.org/abs/1108.2759v1
Skew idempotent functionals of ordered semirings,"Skew idempotent functionals of ordered semirings are studied. Different
associative and non-associative semirings are considered. Theorems about
properties of skew idempotent functionals are proved. Examples are given.",['Sergey V. Ludkovsky'],2013-03-31T16:55:45Z,http://arxiv.org/abs/1304.0229v1
No Unwanted Universally Baire Morphisms,"We show that the usual proof that there are no morphisms (in the sense of
cardinal characteristics), whose constituent maps are Borel, between certain
challenge-response relations generalizes to show that there are no morphisms
whose constituent maps are universally Baire.",['Dan Hathaway'],2015-08-26T03:39:22Z,http://arxiv.org/abs/1508.06355v1
Matrix-Product Complementary dual Codes,"Linear complementary dual codes (LCD) are linear codes satisfying $C\cap
C^{\perp}=\{0\}$. Under suitable conditions, matrix-product codes that are
complementary dual codes are characterized. We construct LCD codes using
quasi-orthogonal matrices. Some asymptotic results are derived.","['Xiusheng Liu', 'Hualu Liu']",2016-04-13T13:55:40Z,http://arxiv.org/abs/1604.03774v1
On $p$-values,"Models are consistently treated as approximations and all procedures are
consistent with this. They do not treat the model as being true. In this
context $p$-values are one measure of approximation, a small $p$-value
indicating a poor approximation. Approximation regions are defined and
distinguished from confidence regions.",['Laurie Davies'],2016-11-18T17:32:40Z,http://arxiv.org/abs/1611.06168v1
Locally conformally cocalibrated G2-structures,"We study the condition in which G2-structures are introduced by a non closed
four-form, although they are satisfying locally conformal conditions.All
solutions are found in the case when the Lee form of G2-structures is non-zero
and gintroduces seven-dimensional Lie algebras, The main results are given in
preposition1 and theorem1.",['Arezoo Zohrabi'],2016-12-14T09:12:09Z,http://arxiv.org/abs/1612.04543v1
Bicomplex k-Fibonacci quaternions,"In this paper, bicomplex k-Fibonacci quaternions are defined. Also, some
algebraic properties of bicomplex k-Fibonacci quaternions which are connected
with bicomplex numbers and k-Fibonacci numbers are investigated. Furthermore,
the Honsberger identity, the d'Ocagne's identity, Binet's formula, Cassini's
identity, Catalan's identity for these quaternions are given.",['Fügen Torunbalcı Aydın'],2018-10-02T11:36:16Z,http://arxiv.org/abs/1810.05003v1
"The probability that random positive integers are k-wise relatively
  prime","An s-tuple of positive integers are k-wise relatively prime if any k of them
are relatively prime. Exact formula is obtained for the probability that s
positive integers are k-wise relatively prime.",['Jerry Hu'],2012-08-07T22:20:07Z,http://arxiv.org/abs/1208.1537v1
Hyperbolic k-Fibonacci Quaternions,"In this paper, hyperbolic k-Fibonacci quaternions are defined. Also, some
algebraic properties of hyperbolic k-Fibonacci quaternions which are connected
with hyperbolic numbers and k-Fibonacci numbers are investigated. Furthermore,
D'Ocagne's identity, the Honsberger identity, Binet's formula, Cassini's
identity and Catalan's identity for these quaternions are given.",['Fugen Torunbalci Aydin'],2018-11-29T10:01:26Z,http://arxiv.org/abs/1812.00781v1
Factoring Middle Binomial Coefficients,"The article describes prime intervals into the prime factorization of the
middle binomial coefficient. Prime factors and prime powers are distributed in
layers. Each layer consists of non-repeated prime numbers which are chosen (not
calculated) from the noncrossing prime intervals. Repeated factors are formed
when primes are duplicated among different layers.",['Gennady Eremin'],2020-03-03T13:07:42Z,http://arxiv.org/abs/2003.01494v1
AR Ser: photometric observations of a Blazhko star,"Photometric observations in 2010-2014 of the RR Lyrae star AR Serpentis are
presented and analyzed. Two Blazhko modulations of comparable amplitude are
detected, with the periods 89 and 108 days, and with evidence for
irregularities.","['Michel Bonnardeau', 'Franz-Josef Hambsch']",2020-12-15T13:09:58Z,http://arxiv.org/abs/2012.08271v1
Rational nef and anti-nef polytopes are not uniform,"We give two examples which show that rational nef and anti-nef polytopes are
not uniform even for klt surface pairs, answering a question of Chen-Han. We
also show that rational nef polytopes are uniform when the Cartier indices are
uniformly bounded.",['Lingyao Xie'],2021-03-28T06:20:16Z,http://arxiv.org/abs/2103.15057v1
The equivalence of linear codes implies semi-linear equivalence,"We prove that if two linear codes are equivalent then they are semi-linearly
equivalent. We also prove that if two additive MDS codes over a field are
equivalent then they are additively equivalent.","['Simeon Ball', 'James Dixon']",2021-07-16T14:05:41Z,http://arxiv.org/abs/2107.07912v1
Bi-exactness of relatively hyperbolic groups,"We prove that finitely generated relatively hyperbolic groups are bi-exact if
and only if all peripheral subgroups are bi-exact. This is a generalization of
Ozawa's result which claims that finitely generated relatively hyperbolic
groups are bi-exact if all peripheral subgroups are amenable.",['Koichi Oyakawa'],2022-07-17T08:48:00Z,http://arxiv.org/abs/2207.08113v1
"On Harmonicity Of Holomorphic Maps Between Various Types Of Almost
  Contact Metric Manifolds","Harmonicity of holomorphic maps between various subclasses of almost contact
metric manifolds is discussed. Consequently, some new results are obtained.
Also some known results are recovered, some of them are generalized and some of
them are corrected.",['Sadettin Erdem'],2023-02-24T14:57:10Z,http://arxiv.org/abs/2302.12677v1
Fermion integrals for finite spectral triples,"Fermion functional integrals are calculated for the Dirac operator of a
finite real spectral triple. Complex, real and chiral functional integrals are
considered for each KO-dimension where they are non-trivial, and phase
ambiguities in the definition are noted.",['John W. Barrett'],2024-03-27T10:28:57Z,http://arxiv.org/abs/2403.18428v1
Cellular harmonic maps which are not diffeomorphisms,"We give examples of harmonic cellular maps between negatively curved
manifolds which are not diffeomorphisms but are homotopic to diffeomorphisms.","['F. T. Farrell', 'P. Ontaneda']",2003-11-11T22:26:24Z,http://arxiv.org/abs/math/0311175v1
