title,summary,authors,published,link,category,keywords
"VREd: A Virtual Reality-Based Classroom for Online Education Using
  Unity3D WebGL","Virtual reality is the way of the future. The use of virtual reality is
expanding over time across all sectors, from the entertainment industry to the
military and space. VREd is a similar concept where a virtual reality-based
classroom is used for online education where the user will have better
interaction and more control. Unity3D and WebGL software have been used for
implementation. Students or learners accustomed to contemporary technologies
may find the traditional educational system unappealing because of its flaws.
Incorporating the latest technologies can increase the curiosity and learning
abilities of students. The system architecture of VREd is similar to that of an
actual classroom, allowing both students and teachers to access all of the
course materials and interact with one another using only an internet
connection. The environment and the background are also customizable.
Therefore, all the users can comfortably use the system and feel at home. We
can create an effective educational system that raises educational quality by
utilizing virtual reality.","['Ratun Rahman', 'Md Rafid Islam']",2023-04-20T18:18:47Z,http://arxiv.org/abs/2304.10585v1,['cs.CY'],"Virtual reality,Virtual reality-based classroom,Online education,Unity3D,WebGL,System architecture,Course materials,Interaction,Educational system,Educational quality"
"Virtualization of Classical Reality: Limits and Possibilities in
  Physical Simulation","This study explores the virtualization of classical reality and aims to
establish a clear framework to determine the limits and possibilities of
virtual reality. It addresses two primary questions: whether an observer's
senses can perceive a different reality through appropriate equipment, and
whether it is possible to simulate a reality without the laws of physics. As
virtual and augmented reality are increasingly used in various fields, it is
crucial to provide well-founded responses to these inquiries. Understanding the
limitations and achievability of virtual reality is essential for creating
realistic environments in education, entertainment, and other domains.
Additionally, considering the role of physics and scientific rigor in virtual
contexts is important. The study presents a theoretical framework divided into
three sections: Methods, Results, and Discussion. The Methods section explains
the nature of computers and their ability to create perceived virtual reality.
The Results section introduces the theoretical framework, emphasizing
observable simulation and interactive simulation and highlighting their
distinctions. Finally, the Discussion section builds upon the theoretical
foundation to provide comprehensive insights and answers to the research
questions. This study enhances our understanding of the boundaries and
possibilities of virtual reality, offering concrete answers and valuable
knowledge for the development and application of virtual reality in various
domains.",['Francesco Sisini'],2023-06-12T08:36:13Z,http://arxiv.org/abs/2306.07955v1,['cs.HC'],"virtualization,classical reality,physical simulation,virtual reality,augmented reality,laws of physics,perceived virtual reality,interactive simulation,theoretical framework"
"Application of Artificial Intelligence in Hand Gesture Recognition with
  Virtual Reality: Survey and Analysis of Hand Gesture Hardware Selection","The ongoing usage of artificial intelligence technologies in virtual reality
has led to a large number of researchers exploring immersive virtual reality
interaction. Gesture controllers and head-mounted displays are the primary
pieces of hardware used in virtual reality applications. This article analyzes
the advantages and disadvantages of various hardware tools as well as possible
use cases for hand gesture recognition. Several popular data sets used in data
pre-processing and hand gesture detection systems are also summarized. This
paper's primary objectives are to evaluate the current state of the art in
gesture recognition research and to offer potential routes for future study to
guide researchers working on immersive virtual reality interaction. Comparing
recent study results and taking into account the state of the development of
human-computer interaction technology, a number of potential research
directions are highlighted, including the following: input data noise should be
filtered, a lightweight network should be designed, tactile feedback should be
created, and eye and gesture data should be combined.",['Jindi Wang'],2024-05-25T15:05:49Z,http://arxiv.org/abs/2405.16264v1,['cs.HC'],"Artificial Intelligence,Hand Gesture Recognition,Virtual Reality,Hardware Selection,Gesture Controllers,Head-Mounted Displays,Data Sets,Data Pre-processing,Hand Gesture Detection"
"Preprint Virtual Reality Assistant Technology for Learning Primary
  Geography","This is the preprint version of our paper on ICWL2015. A virtual reality
based enhanced technology for learning primary geography is proposed, which
synthesizes several latest information technologies including virtual
reality(VR), 3D geographical information system(GIS), 3D visualization and
multimodal human-computer-interaction (HCI). The main functions of the proposed
system are introduced, i.e. Buffer analysis, Overlay analysis, Space convex
hull calculation, Space convex decomposition, 3D topology analysis and 3D space
intersection detection. The multimodal technologies are employed in the system
to enhance the immersive perception of the users.","['Zhihan Lv', 'Xiaoming Li']",2015-09-01T07:03:35Z,http://arxiv.org/abs/1509.00159v2,['cs.HC'],"virtual reality,primary geography,3D geographical information system,HCI,buffer analysis,overlay analysis,space convex hull calculation,3D topology analysis,3D space intersection detection"
"Where's My Drink? Enabling Peripheral Real World Interactions While
  Using HMDs","Head Mounted Displays (HMDs) allow users to experience virtual reality with a
great level of immersion. However, even simple physical tasks like drinking a
beverage can be difficult and awkward while in a virtual reality experience. We
explore mixed reality renderings that selectively incorporate the physical
world into the virtual world for interactions with physical objects. We
conducted a user study comparing four rendering techniques that balances
immersion in a virtual world with ease of interaction with the physical world.
Finally, we discuss the pros and cons of each approach, suggesting guidelines
for future rendering techniques that bring physical objects into virtual
reality.","['Pulkit Budhiraja', 'Rajinder Sodhi', 'Brett Jones', 'Kevin Karsch', 'Brian Bailey', 'David Forsyth']",2015-02-16T22:50:03Z,http://arxiv.org/abs/1502.04744v1,['cs.HC'],"HMDs,virtual reality,immersion,mixed reality,renderings,user study,interaction,physical objects,guidelines"
"The Office of the Future: Virtual, Portable and Global","Virtual Reality has the potential to change the way we work. We envision the
future office worker to be able to work productively everywhere solely using
portable standard input devices and immersive head-mounted displays. Virtual
Reality has the potential to enable this, by allowing users to create working
environments of their choice and by relieving them from physical world
limitations such as constrained space or noisy environments. In this article,
we investigate opportunities and challenges for realizing this vision and
discuss implications from recent findings of text entry in virtual reality as a
core office task.","['Jens Grubert', 'Eyal Ofek', 'Michel Pahud', 'Per Ola Kristensson']",2018-12-05T19:35:40Z,http://arxiv.org/abs/1812.02197v1,['cs.HC'],"Virtual Reality,Portable devices,Global work,Immersive displays,Working environments,Text entry,Office tasks,Productivity"
Low-cost VR Collaborative System equipped with Haptic Feedback,"In this paper, we present a low-cost virtual reality (VR) collaborative
system equipped with a haptic feedback sensation system. This system is
composed of a Kinect sensor for bodies and gestures detection, a
microcontroller and vibrators to simulate outside interactions, and smartphone
powered cardboard, all of this are put into a network implemented with Unity 3D
game engine. CCS CONCEPTS $\bullet$ Interaction paradigms $\rightarrow$ Virtual
reality; Collaborative interaction; $\bullet$ Hardware $\rightarrow$ Sensors
and actuators; Wireless devices; KEYWORDS collaborative virtual reality, haptic
feedback system.","['Samir Benbelkacem', 'Abdelkader Bellarbi', 'Nadia Zenati-Henda', 'Ahmed Bentaleb', 'Ahmed Bellabaci', 'Samir Otmane']",2019-03-01T07:36:19Z,http://arxiv.org/abs/1903.01219v1,['cs.HC'],"virtual reality,collaborative system,haptic feedback,Kinect sensor,microcontroller,vibrators,Unity 3D,sensors,actuators,wireless devices"
Compact 3 DOF Driving Simulator using Immersive Virtual Reality,"A driving simulator was created using commercially available 3 degree of
freedom motion platform (DOFreality H3) and a virtual reality head-mounted
display (Oculus CV1). Using virtual reality headset as the visual simulation
system with low-cost moving base platform allowed us to create a high-fidelity
driving simulator with minimal cost and space. A custom motion cueing algorithm
was used to minimize visuo-vestibular conflict, and simulator sickness
questionnaire (SSQ) was used to measure progression of simulator sickness over
time while driving on a highway environment.","['Jungsu Pak', 'Uri Maoz']",2019-09-12T17:39:50Z,http://arxiv.org/abs/1909.05833v1,['cs.HC'],"3 DOF,driving simulator,immersive virtual reality,motion platform,virtual reality headset,simulation system,motion cueing algorithm,visuo-vestibular conflict,simulator sickness,highway environment"
Rethinking Immersive Virtual Reality and Empathy,"In this position paper, we aim to spark more discussions surrounding the use
of empathy as the intended outcome of many studies on immersive virtual reality
experiences. As a construct, empathy has many significant flaws that may lead
to unintended and negative outcomes, going against our original goal of
employing these technologies for the betterment of society. We highlight the
possible advantages of designing for rational compassion instead, and propose
alternative research directions and outcome measurements for immersive virtual
reality that urgently warrant our attention.","['Ken Jen Lee', 'Edith Law']",2021-09-09T03:52:04Z,http://arxiv.org/abs/2109.04023v1,"['cs.HC', 'cs.MM', 'H.5.1; J.4; K.4.0']","immersive virtual reality,empathy,construct,negative outcomes,rational compassion,research directions,outcome measurements"
"A virtual reality-based method for examining audiovisual prosody
  perception","Prosody plays a vital role in verbal communication. Acoustic cues of prosody
have been examined extensively. However, prosodic characteristics are not only
perceived auditorily, but also visually based on head and facial movements. The
purpose of this report is to present a method for examining audiovisual prosody
using virtual reality. We show that animations based on a virtual human provide
motion cues similar to those obtained from video recordings of a real talker.
The use of virtual reality opens up new avenues for examining multimodal
effects of verbal communication. We discuss the method in the framework of
examining prosody perception in cochlear implant listeners.","['Hartmut Meister', 'Isa Samira Winter', 'Moritz Waeachtler', 'Pascale Sandmann', 'Khaled Abdellatif']",2022-09-13T06:10:08Z,http://arxiv.org/abs/2209.05745v1,['cs.CL'],"audiovisual prosody,perception,virtual reality,acoustic cues,prosodic characteristics,virtual human,motion cues,video recordings,verbal communication,cochlear implant listeners"
Teleoperated Robot Grasping in Virtual Reality Spaces,"Despite recent advancement in virtual reality technology, teleoperating a
high DoF robot to complete dexterous tasks in cluttered scenes remains
difficult. In this work, we propose a system that allows the user to
teleoperate a Fetch robot to perform grasping in an easy and intuitive way,
through exploiting the rich environment information provided by the virtual
reality space. Our system has the benefit of easy transferability to different
robots and different tasks, and can be used without any expert knowledge. We
tested the system on a real fetch robot, and a video demonstrating the
effectiveness of our system can be seen at https://youtu.be/1-xW2Bx_Cms.","['Jiaheng Hu', 'David Watkins', 'Peter Allen']",2023-01-30T17:07:52Z,http://arxiv.org/abs/2301.13064v1,['cs.RO'],"teleoperated robot,virtual reality,grasping,DoF,cluttered scenes,system,Fetch robot,environment information,transferability,teleoperation"
"The ImmersaDesk3 -- Experiences With A Flat Panel Display for Virtual
  Reality","In this paper we discuss the design and implementation of a plasma display
panel for a wide field of view desktop virtual reality environment. Present
commercial plasma displays are not designed with virtual reality in mind,
leading to several problems in generating stereo imagery and obtaining good
tracking information. Although we developed solutions for a number of these
problems, the limitations of the system preclude its current use in practical
applications, and point to issues that must be resolved for flat panel displays
to be useful for VR.","['Dave Pape', 'Josephine Anstey', 'Mike Bogucki', 'Greg Dawe', 'Tom DeFanti', 'Andy Johnson', 'Dan Sandin']",2023-11-17T04:03:53Z,http://arxiv.org/abs/2311.12037v1,['cs.HC'],"plasma display panel,virtual reality,flat panel display,stereo imagery,tracking information,limitations,practical applications,flat panel displays"
HTC Vive MeVisLab integration via OpenVR for medical applications,"Virtual Reality, an immersive technology that replicates an environment via
computer-simulated reality, gets a lot of attention in the entertainment
industry. However, VR has also great potential in other areas, like the medical
domain, Examples are intervention planning, training and simulation. This is
especially of use in medical operations, where an aesthetic outcome is
important, like for facial surgeries. Alas, importing medical data into Virtual
Reality devices is not necessarily trivial, in particular, when a direct
connection to a proprietary application is desired. Moreover, most researcher
do not build their medical applications from scratch, but rather leverage
platforms like MeVisLab, MITK, OsiriX or 3D Slicer. These platforms have in
common that they use libraries like ITK and VTK, and provide a convenient
graphical interface. However, ITK and VTK do not support Virtual Reality
directly. In this study, the usage of a Virtual Reality device for medical data
under the MeVisLab platform is presented. The OpenVR library is integrated into
the MeVisLab platform, allowing a direct and uncomplicated usage of the head
mounted display HTC Vive inside the MeVisLab platform. Medical data coming from
other MeVisLab modules can directly be connected per drag-and-drop to the
Virtual Reality module, rendering the data inside the HTC Vive for immersive
virtual reality inspection.","['Jan Egger', 'Markus Gall', 'Jürgen Wallner', 'Pedro Boechat', 'Alexander Hann', 'Xing Li', 'Xiaojun Chen', 'Dieter Schmalstieg']",2017-03-22T09:21:00Z,http://arxiv.org/abs/1703.07575v1,"['cs.GR', 'cs.SE']","HTC Vive,MeVisLab,OpenVR,Virtual Reality,medical applications,ITK,VTK,3D Slicer,MITK,immersive technology"
"Use of augmented and virtual reality tools in a general secondary
  education institution in the context of blended learning","The study examines the problem of using augmented and virtual reality in the
process of blended learning in general secondary education. The study analyzes
the meaning of the concept of ""blended learning"". The conceptual principles of
blended learning are considered. The definition of augmented and virtual
reality is given. The mixed reality is considered as a separate kind of notion.
Separate applications of virtual and augmented reality that can be used in the
process of blended learning are considered. As a result of the study, the
authors propose possible ways to use augmented reality in the educational
process. The model of using augmented and virtual reality in blended learning
in general secondary education institutions was designed. It consists of the
following blocks: goal; teacher's activity; forms of education; teaching
methods; teaching aids; organizational forms of education; pupil activity and
results. Based on the model, the methodology of using augmented and virtual
reality in blended learning in general secondary education was developed. The
methodology contains the following components: target component, content
component, technological component and resultant component. The methodology is
quite universal and can be used for any subject in general secondary education.
The types of lessons in which it is expedient to use augmented (AR) and virtual
reality(VR) are determined. Recommendations are given at which stage of the
lesson it is better to use AR and VR tools (depending on the type of lesson).","['Valentyna Kovalenko', 'Maiia Marienko', 'Alisa Sukhikh']",2022-01-13T16:54:36Z,http://arxiv.org/abs/2201.07003v1,['cs.CY'],"augmented reality,virtual reality,blended learning,general secondary education,mixed reality,educational process,methodology,teaching methods,teaching aids,organizational forms"
